embsalse,ID_DGA,ID_IDE,max_level_hm3,2005-01-01,2005-02-01,2005-03-01,2005-04-01,2005-05-01,2005-06-01,2005-07-01,2005-08-01,2005-09-01,2005-10-01,2005-11-01,2005-12-01,2006-01-01,2006-02-01,2006-03-01,2006-04-01,2006-05-01,2006-06-01,2006-07-01,2006-08-01,2006-09-01,2006-10-01,2006-11-01,2006-12-01,2007-01-01,2007-02-01,2007-03-01,2007-04-01,2007-05-01,2007-06-01,2007-07-01,2007-08-01,2007-09-01,2007-10-01,2007-11-01,2007-12-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01,2026-01-01,2026-02-01,2026-03-01,2026-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conchi,RI02EM000001,EMBAL_1,22,17,15,15,15,16,17,18,18,19,19,18,16,15,16,16,17,12,13,14,15,15,15,15,15,15,15,15,15,15,16,17,18,18,18,17,17,17,16,16,16,17,18,18,19,19,19,18,17,15,15,12,15,16,17,18,19,19,18,18,17,15,15,14,14,20,20,20,20,21,21,20,19,19,19,19,18,20,20,20,21,21,21,20,19,18,19,19,19,20,20,20,20,20,19,19,17,17,18,18,18,18,18,18,19,19,19,18,17,16,16,16,16,16,17,17,18,18,18,17,16,16,16,16,16,16,17,18,18,18,18,17,17,15,17,17,17,17,17,18,18,18,17,16,15,16,16,17,17,17,18,19,19,18,18,17,16,15,17,17,16,16,17,18,19,18,18,17,15,17,17,16,16,16,17,18,18,19,18,17,17,16,18,19,19,19,19,19,19,19,18,17,16,14,13,14,14,15,15,16,16,17,17,16,16,16,15,15,15,15,16,16,17,17,16,15,14,12,7,13,15,15,15,8,16,17,17,4,17,1,16,8,16,1,13,5,13,13,9,13,4,12,7,13,2,14,1,14,9,15,2,15,14,7,14,12,7,12,4,20,3,20,3,20,20,3,20,9,21,5,21,4,21,20,5,19,7,19,1,19,17,9,17,5,17,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lautaro,RI03EM000002,EMBAL_2,16,8,7,7,9,11,12,13,12,12,9,7,8,11,12,10,11,1,1,4,2,3,3,6,3,5,3,1,3,5,3,6,3,3,3,2,3,5,4,6,7,7,6,5,3,9,3,6,5,7,9,8,8,9,9,5,10,1,10,3,10,2,9,3,8,2,5,2,5,1,4,1,4,2,5,3,5,5,5,6,4,7,1,7,3,4,7,3,3,1,6,0,2,0,2,0,4,0,9,1,7,2,3,4,5,6,5,3,2,2,2,1,1,4,2,3,4,5,4,1,0,0,0,1,4,1,1,4,3,4,4,4,4,7,3,8,2,1,0,4,0,0,3,0,2,0,3,0,2,9,3,4,4,4,5,3,5,1,6,0,1,0,1,0,1,0,1,0,9,1,9,2,7,3,8,4,4,2,7,1,4,0,4,0,1,0,0,4,6,6,2,6,5,6,8,6,9,7,1,6,2,5,6,5,3,4,3,4,4,5,3,5,1,6,6,8,7,5,7,4,7,4,7,1,7,1,8,9,8,14,4,15,1,18,19,5,26,21,21,23,23,20,20,21,21,23,22,23,23,23,23,23,22,20,17,13,12,12,11,11,12,13,14,14,13,12,9,7,8,9,10,10,10,9,9,1,9,2,9,2,8,8,7,5,9,5,4,8,4,4,4,6,4,4,5,8,6,7,7,3,7,4,7,3,3,6,1,7,0,5,0,2,0,2,0,2,0,6,1,4,2,5,3,8,4,5,3,7,3,2,2,2,1,0,2,0,8,0,8,1,5,2,9,3,5,3,8,3,5,2,7,1,4,0,1,0,1,1,3,4,1,7,3,1,4,4,3,4,5,4,4,3,7,2,9,3,2,4,3,4,4,8,3,9,4,5,4,8,5,2,5,4,5,4,5,3,3,9,2,7,1,8,2,7,2,7,2,1,2
Santa_Juana,RI03EM000003,EMBAL_3,176,130,125,121,119,124,129,135,137,138,135,137,148,159,166,166,166,115,117,120,123,125,127,128,130,128,124,122,121,121,124,129,131,130,129,136,147,157,159,160,161,166,166,166,166,166,166,166,162,155,151,145,143,142,144,148,149,146,140,133,124,118,114,108,106,85,90,94,96,97,93,85,78,70,63,59,58,83,86,90,93,91,87,80,75,65,65,63,62,63,65,66,66,65,60,56,47,44,39,32,34,36,39,42,43,42,38,34,29,25,21,17,12,17,20,22,23,23,19,15,11,8,6,12,19,22,23,27,35,42,42,49,65,73,80,89,92,106,117,131,142,152,166,166,166,166,166,166,166,166,166,164,161,162,162,164,166,166,166,166,166,166,166,166,165,165,163,159,156,150,147,140,142,141,146,155,157,159,159,149,141,134,131,131,130,131,134,138,139,138,136,126,119,114,105,100,97,96,98,97,99,102,98,94,89,85,81,77,74,74,75,82,84,84,82,81,81,79,79,78,79,83,86,8,91,92,6,93,90,5,86,8,82,2,78,75,7,72,9,75,8,80,1,83,7,86,4,89,6,89,5,87,8,87,2,88,1,90,2,92,6,95,97,5,98,2,105,8,110,5,117,118,9,117,2,113,5,108,102,3,93,7,88,2,85,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La_Laguna,RI04EM000013,EMBAL_5,38,31,30,25,26,25,27,29,31,32,36,37,38,36,31,28,32,23,24,25,27,28,29,30,30,31,32,32,32,32,32,32,33,32,28,26,26,26,26,25,25,27,30,32,32,32,32,31,29,29,28,28,30,32,34,35,37,38,38,38,34,31,29,25,23,29,31,32,33,34,36,36,35,33,31,29,28,26,26,27,28,29,30,31,30,28,29,30,31,31,33,33,34,32,27,23,22,21,21,20,18,19,21,22,24,26,27,28,32,32,26,23,22,23,25,26,27,27,28,25,23,20,18,17,18,18,19,19,19,20,23,25,30,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,36,35,35,35,35,36,36,36,36,36,36,34,31,29,28,28,28,28,28,28,28,29,28,27,25,23,22,21,20,20,21,29,22,22,23,23,22,20,18,17,16,16,9,13,7,19,19,5,20,3,20,1,18,1,15,4,12,3,9,2,3,4,2,2,3,3,7,4,7,5,7,7,9,12,3,14,4,14,9,15,5,15,3,15,6,16,3,16,6,17,2,17,7,18,1,18,17,15,5,13,1,11,9,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puclaro,RI04EM000014,EMBAL_6,209,153,142,134,128,133,137,140,140,141,142,155,189,200,200,200,200,142,146,151,158,163,167,172,175,178,180,182,184,187,191,192,195,198,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,197,197,196,196,194,195,187,177,161,148,140,134,132,87,96,104,109,114,113,107,97,86,74,62,54,71,78,83,86,82,77,69,60,53,45,36,32,31,32,32,35,34,33,29,23,16,10,5,5,10,14,17,19,19,16,13,9,6,5,5,6,9,16,20,22,24,23,20,17,13,9,11,11,11,12,12,17,26,32,39,46,55,76,83,92,102,130,134,148,161,170,189,200,200,200,200,200,205,207,207,209,208,207,206,205,205,209,200,201,204,206,207,208,207,203,200,195,189,182,177,175,177,180,183,184,184,180,173,166,158,150,143,138,136,138,141,141,139,134,128,121,113,106,99,94,92,91,92,92,90,86,82,76,69,63,57,53,49,48,53,52,50,47,43,41,36,33,30,29,28,3,28,3,29,28,7,26,23,4,21,1,17,6,13,8,10,8,7,11,1,13,6,19,6,24,30,3,32,2,33,2,33,7,32,9,32,2,30,4,30,8,31,6,33,1,35,9,39,3,44,6,46,5,45,3,42,1,38,2,33,9,30,2,27,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recoleta,RI04EM000006,EMBAL_12,100,77,72,68,65,69,73,75,77,80,81,86,91,91,100,92,94,45,50,55,60,63,65,67,68,68,69,69,69,68,72,75,78,78,77,75,75,71,68,65,63,66,71,76,86,90,95,100,100,100,98,96,95,96,99,100,100,99,95,90,85,80,75,70,66,43,49,55,58,60,59,57,52,47,40,35,31,32,40,44,47,47,46,44,40,36,30,23,19,20,22,24,26,27,26,25,22,18,13,7,5,6,10,12,13,14,13,11,8,6,3,0,0,0,3,4,8,9,7,5,3,2,0,1,1,1,9,1,9,2,3,3,4,6,3,13,5,18,23,9,29,9,36,39,39,42,46,53,58,62,65,68,75,78,78,77,76,76,86,86,86,86,86,86,86,85,83,81,79,79,81,85,86,85,83,82,80,76,72,69,65,64,65,67,69,70,69,68,66,63,60,58,55,54,53,53,55,54,53,52,50,48,43,,32,29,27,27,27,27,25,24,23,21,19,17,13,10,10,9,16,19,19,19,18,17,16,14,11,11,10,8,11,9,17,13,6,13,7,12,10,2,8,4,6,3,4,7,3,2,3,9,1,3,9,7,12,2,16,4,16,4,16,7,17,1,15,6,14,7,14,1,13,7,13,7,15,3,16,5,18,21,6,22,2,21,2,20,5,19,1,16,5,14,1,12,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La_Paloma,RI04EM000005,EMBAL_9,750,485,453,430,414,423,437,449,456,480,506,559,583,574,559,542,536,335,355,375,396,415,431,445,452,450,448,447,447,447,456,463,467,464,462,453,429,397,369,343,329,326,341,356,396,413,440,447,468,442,412,391,379,376,380,390,406,408,395,375,346,312,282,259,246,238,273,303,323,335,338,322,295,264,234,204,185,148,184,202,213,215,215,203,181,155,134,112,104,103,103,102,107,108,100,87,69,51,37,26,20,24,34,42,47,52,52,51,42,33,25,20,18,18,24,29,31,33,32,28,24,19,16,14,13,13,13,14,16,45,72,112,159,188,178,171,176,187,215,241,265,293,329,353,359,358,340,328,325,412,478,535,567,587,602,610,603,583,562,547,539,541,556,569,573,572,565,551,528,503,480,459,448,446,449,449,445,438,424,407,385,362,342,325,313,305,309,312,309,298,287,269,250,233,217,205,194,188,184,182,178,173,163,150,134,119,107,95,84,84,81,100,106,112,119,121,112,95,81,69,61,58,1,58,9,58,8,57,4,55,3,51,9,45,7,38,28,5,22,6,10,4,8,1,7,8,28,6,37,7,58,5,66,1,82,89,9,84,4,72,4,62,1,52,45,8,46,6,52,4,57,5,73,8,82,9,86,1,81,9,71,5,60,4,50,40,8,35,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cogot�,RI04EM000001,EMBAL_17,156,66,60,56,53,54,58,61,63,73,80,100,104,98,92,86,82,12,15,18,23,28,33,37,39,41,41,41,41,41,40,41,40,41,39,35,30,25,21,16,14,13,14,16,33,40,51,66,65,61,56,53,50,49,49,50,54,54,53,52,45,37,32,27,24,41,46,50,53,55,54,50,43,38,33,27,25,0,23,30,33,37,42,42,37,31,27,23,21,21,19,18,18,17,14,10,5,2,0,0,0,0,7,2,2,2,6,3,3,5,2,7,1,0,2,0,0,0,0,0,0,5,0,5,0,3,0,4,0,0,0,0,0,0,7,0,0,0,0,0,8,21,6,29,9,45,62,9,75,71,69,68,68,78,85,92,100,110,116,114,110,106,102,99,136,137,134,138,142,147,150,148,142,135,129,124,121,121,121,119,115,110,103,96,90,84,78,74,71,70,68,65,62,59,55,50,46,42,39,37,35,35,35,33,32,29,26,22,19,17,15,14,13,12,11,10,9,8,3,6,2,4,2,0,9,0,0,0,0,0,13,5,17,2,18,9,22,6,26,7,24,5,21,19,16,14,6,13,5,12,5,13,11,9,10,7,8,7,6,8,4,6,2,6,0,7,0,0,0,16,3,19,4,32,6,34,8,43,5,49,47,3,43,7,40,9,38,6,37,35,1,34,9,35,2,38,3,39,39,36,4,32,8,29,6,25,7,21,8,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culimo,RI04EM000003,EMBAL_8,10,3,3,1,96,0,6,0,0,0,0,1,3,3,1,3,7,2,9,2,4,1,9,1,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,0,9,1,4,0,5,0,1,0,1,0,1,0,1,0,1,0,1,0,4,0,8,0,9,0,9,1,2,0,9,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,4,1,8,1,9,2,2,2,1,6,1,6,3,1,4,6,4,7,5,5,1,5,1,4,8,4,5,4,1,4,4,5,4,6,6,8,8,5,8,8,9,8,8,8,6,8,7,6,7,3,7,7,7,7,3,7,4,7,5,7,4,7,1,6,8,6,4,6,1,5,8,5,6,5,5,5,5,5,4,5,4,5,4,4,9,4,4,4,4,4,2,3,9,3,8,3,6,3,6,3,6,3,8,3,8,3,8,3,7,3,7,3,3,2,8,2,7,2,6,2,6,2,5,2,5,2,5,2,5,2,5,2,4,2,3,2,3,2,1,2,1,9,1,9,1,8,1,8,1,9,1,8,1,8,1,8,1,7,1,6,1,5,1,2,0,9,0,9,0,9,0,9,0,9,0,9,0,8,0,8,0,7,0,7,0,6,0,5,0,5,0,5,0,5,2,5,2,8,4,9,5,5,5,8,5,8,5,8,5,5,5,3,5,1,4,9,4,8,4,8,4,9,5,5,2,5,2,5,2,4,8,4,3,4,4,3,8,,,,,,,,
El_Bato,RI04EM000002,EMBAL_7,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,2,2,1,8,2,3,3,7,4,7,6,6,6,6,7,7,6,4,5,3,4,2,8,1,8,1,9,2,7,4,4,4,2,1,3,4,2,8,0,5,1,6,1,6,1,7,1,7,1,7,0,1,0,5,5,5,9,5,15,4,23,1,26,24,24,24,24,26,24,26,26,26,26,26,26,25,24,23,25,25,24,26,26,26,26,26,25,24,23,22,22,23,24,25,25,26,24,22,19,16,14,13,13,13,14,14,14,14,12,11,9,7,6,5,5,5,5,6,3,6,5,6,5,6,2,5,2,3,9,2,8,2,2,1,8,1,7,1,7,1,9,2,1,2,3,2,5,2,5,2,3,2,1,6,1,3,1,1,1,2,1,4,1,7,3,2,5,1,6,4,9,1,12,3,13,7,14,13,12,7,12,4,12,3,12,3,12,4,12,6,12,5,12,1,11,6,10,5,9,4,8,6,7,4,4,6,4,8,2,10,7,14,1,16,1,22,4,25,6,25,6,25,23,1,21,6,21,2,21,4,22,2,23,3,25,2,25,7,25,6,25,23,2,21,18,8,17,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
